layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
12,mlp.down_proj,1.738937e-03,1.841621e-03,2.595355e-05,3.220210e-05,4.151241e-02,5.156572e-02
12,mlp,1.462285e-03,1.841621e-03,5.394504e-05,3.220210e-05,8.535367e-02,5.156572e-02
13,input_layernorm,7.640740e-04,1.272993e-03,7.640740e-04,8.473806e-05,1.557869e+00,1.344347e-01
13,self_attn.q_proj,1.272993e-03,7.919078e-04,8.473806e-05,1.602123e-04,1.344347e-01,2.529431e-01
13,self_attn.k_proj,1.272993e-03,6.986761e-04,8.473806e-05,1.673509e-04,1.344347e-01,2.642810e-01
13,self_attn.v_proj,1.272993e-03,1.354791e-03,8.473806e-05,8.668743e-05,1.344347e-01,1.379934e-01
13,self_attn.o_proj,1.815860e-03,1.939131e-03,2.478968e-05,2.471707e-05,4.099287e-02,4.067224e-02
13,post_attention_layernorm,7.560201e-04,1.435411e-03,7.563466e-04,5.396313e-05,1.585045e+00,8.592942e-02
13,mlp.gate_proj,1.435411e-03,1.008788e-03,5.396313e-05,1.120543e-04,8.592942e-02,1.789906e-01
13,mlp.up_proj,1.435411e-03,1.260401e-03,5.396313e-05,1.064912e-04,8.592942e-02,1.701885e-01
13,mlp.down_proj,1.630435e-03,1.739754e-03,2.769914e-05,3.513340e-05,4.405414e-02,5.590997e-02
13,mlp,1.435411e-03,1.739754e-03,5.396313e-05,3.513340e-05,8.592942e-02,5.590997e-02
14,input_layernorm,8.386098e-04,1.223347e-03,8.386098e-04,8.328338e-05,1.713591e+00,1.326982e-01
14,self_attn.q_proj,1.223347e-03,7.967471e-04,8.328338e-05,1.571472e-04,1.326982e-01,2.504448e-01
14,self_attn.k_proj,1.223347e-03,6.975008e-04,8.328338e-05,1.700355e-04,1.326982e-01,2.699678e-01
14,self_attn.v_proj,1.223347e-03,1.282760e-03,8.328338e-05,8.105603e-05,1.326982e-01,1.296586e-01
14,self_attn.o_proj,1.787181e-03,1.945157e-03,2.559115e-05,2.503041e-05,4.278815e-02,4.163012e-02
14,post_attention_layernorm,8.667599e-04,1.392971e-03,8.668798e-04,5.437005e-05,1.743173e+00,8.674883e-02
14,mlp.gate_proj,1.392971e-03,9.820066e-04,5.437005e-05,1.119872e-04,8.674883e-02,1.791759e-01
14,mlp.up_proj,1.392971e-03,1.212652e-03,5.437005e-05,1.072714e-04,8.674883e-02,1.715591e-01
14,mlp.down_proj,1.528444e-03,1.611692e-03,2.884627e-05,3.580211e-05,4.601068e-02,5.721592e-02
14,mlp,1.392971e-03,1.611692e-03,5.437005e-05,3.580211e-05,8.674883e-02,5.721592e-02
15,input_layernorm,9.453854e-04,1.182117e-03,9.453854e-04,7.969921e-05,1.867609e+00,1.268326e-01
15,self_attn.q_proj,1.182117e-03,7.188866e-04,7.969921e-05,1.476719e-04,1.268326e-01,2.343166e-01
15,self_attn.k_proj,1.182117e-03,6.603671e-04,7.969921e-05,1.592394e-04,1.268326e-01,2.527247e-01
15,self_attn.v_proj,1.182117e-03,1.211560e-03,7.969921e-05,7.949489e-05,1.268326e-01,1.271559e-01
15,self_attn.o_proj,1.757527e-03,1.859477e-03,2.892897e-05,2.923619e-05,4.660668e-02,4.747099e-02
15,post_attention_layernorm,9.645954e-04,1.338224e-03,9.648116e-04,5.469969e-05,1.909342e+00,8.739564e-02
15,mlp.gate_proj,1.338224e-03,9.553070e-04,5.469969e-05,1.144059e-04,8.739564e-02,1.826016e-01
15,mlp.up_proj,1.338224e-03,1.158451e-03,5.469969e-05,1.092795e-04,8.739564e-02,1.746214e-01
15,mlp.down_proj,1.461689e-03,1.518706e-03,3.153302e-05,3.927267e-05,5.012849e-02,6.211216e-02
15,mlp,1.338224e-03,1.518706e-03,5.469969e-05,3.927267e-05,8.739564e-02,6.211216e-02
16,input_layernorm,1.112116e-03,1.157378e-03,1.112116e-03,7.894093e-05,2.143809e+00,1.257896e-01
16,self_attn.q_proj,1.157378e-03,7.184600e-04,7.894093e-05,1.486271e-04,1.257896e-01,2.358354e-01
16,self_attn.k_proj,1.157378e-03,6.461667e-04,7.894093e-05,1.611267e-04,1.257896e-01,2.567538e-01
16,self_attn.v_proj,1.157378e-03,1.186850e-03,7.894093e-05,7.993545e-05,1.257896e-01,1.273456e-01
16,self_attn.o_proj,1.763716e-03,1.794365e-03,3.085401e-05,3.327631e-05,4.969775e-02,5.333348e-02
16,post_attention_layernorm,1.105685e-03,1.292743e-03,1.106174e-03,5.642110e-05,2.094688e+00,9.021149e-02
16,mlp.gate_proj,1.292743e-03,9.142508e-04,5.642110e-05,1.201568e-04,9.021149e-02,1.905086e-01
16,mlp.up_proj,1.292743e-03,1.101067e-03,5.642110e-05,1.123228e-04,9.021149e-02,1.791698e-01
16,mlp.down_proj,1.384372e-03,1.436911e-03,3.812342e-05,4.677227e-05,6.088037e-02,7.450577e-02
